15:42:48:858,-99,-11
15:42:49:206,-100,-9
15:42:49:558,-99,-6
15:42:49:906,-100,-6
15:42:50:258,-99,-5
15:42:50:606,-99,-6
15:42:50:958,-99,-3
15:42:51:306,-100,-5
15:42:51:658,-98,-8
15:42:52:006,-99,-6
15:42:52:358,-99,-7
15:42:52:722,null
15:42:53:058,-98,-6
15:42:53:422,null
15:42:53:761,-100,-16
15:42:54:109,-99,-9
15:42:54:461,null
15:42:54:809,-100,-8
15:42:55:161,-100,-12
15:42:55:509,-99,-13
15:42:55:861,-100,-9
15:42:56:209,-100,-7
15:42:56:561,-99,-14
15:42:56:909,null
15:42:57:261,-99,-9
15:42:57:610,-100,-7
15:42:57:962,-99,-6
15:42:58:310,-100,-12
15:42:58:661,-100,-13
15:42:59:026,null
15:42:59:362,-98,-3
15:42:59:714,null
15:43:00:062,-98,-5
15:43:00:414,-98,-6
15:43:00:766,null
15:43:01:114,-98,-6
15:43:01:466,null
15:43:01:814,null
15:43:02:178,null
15:43:02:514,null
15:43:02:878,null
15:43:03:214,-99,-13
15:43:03:563,-99,-13
15:43:03:926,null
15:43:04:266,-99,-13
15:43:04:618,-99,-10
15:43:04:966,null
15:43:05:318,-99,-12
15:43:05:666,-100,-12
15:43:06:018,-100,-11
15:43:06:366,-100,-11
15:43:06:718,-100,-5
15:43:07:066,null
15:43:07:431,null
15:43:07:767,null
15:43:08:131,null
15:43:08:479,null
15:43:08:817,-101,-12
15:43:09:169,-96,-11
15:43:09:517,-99,-12
15:43:09:869,-99,-12
15:43:10:217,-99,-11
15:43:10:567,-99,-9
15:43:10:919,-100,-13
15:43:11:283,null
15:43:11:619,-99,-15
15:43:11:983,null
15:43:12:331,null
15:43:12:683,null
15:43:13:031,null
15:43:13:383,null
15:43:13:732,null
15:43:14:084,null
15:43:14:436,null
15:43:14:784,null
15:43:15:136,null
15:43:15:484,null
15:43:15:836,null
15:43:16:184,null
15:43:16:536,null
15:43:16:884,null
15:43:17:236,null
15:43:17:585,null
15:43:17:937,null
15:43:18:285,null
15:43:18:638,null
15:43:18:986,null
15:43:19:338,null
15:43:19:686,null
15:43:20:038,null
15:43:20:388,null
15:43:20:736,null
15:43:21:088,null
15:43:21:440,null
15:43:21:788,null
15:43:22:140,null
15:43:22:488,null
